Date/Time (UTC-06:00) Central Time (US & Canada),RadarVehiclesCount,RadarSpeed (MPH)
4/26/15 15:55,,
4/26/15 16:00,62,72.29193564
4/26/15 16:05,98,74.17033322
4/26/15 16:10,93,72.11106931
4/26/15 16:15,100,72.92374614
4/26/15 16:20,91,73.24181299
4/26/15 16:25,95,73.57823956
4/26/15 16:30,96,73.93214409
4/26/15 16:35,109,73.01828964
4/26/15 16:40,106,73.84630639
4/26/15 16:45,100,71.9732424
4/26/15 16:50,102,72.81204894
4/26/15 16:55,92,74.22561341
4/26/15 17:00,90,74.48574528
4/26/15 17:05,103,73.12983988
4/26/15 17:10,99,73.16110091
4/26/15 17:15,106,75.1542588
4/26/15 17:20,94,74.29553474
4/26/15 17:25,99,73.64281434
4/26/15 17:30,101,75.38167046
4/26/15 17:35,108,73.74370277
4/26/15 17:40,95,74.2341713
4/26/15 17:45,94,74.25118941
4/26/15 17:50,93,75.82065703
4/26/15 17:55,86,72.51456331
4/26/15 18:00,98,73.46079096
4/26/15 18:05,92,73.15627489
4/26/15 18:10,73,73.17196182
4/26/15 18:15,104,71.95476225
4/26/15 18:20,82,73.47504146
4/26/15 18:25,95,74.88538321
4/26/15 18:30,98,74.05548347
4/26/15 18:35,77,73.53079383
4/26/15 18:40,104,74.08872705
4/26/15 18:45,94,74.46789186
4/26/15 18:50,78,75.4772882
4/26/15 18:55,94,75.45230668
4/26/15 19:00,97,73.22742785
4/26/15 19:05,83,74.39876412
4/26/15 19:10,82,74.2074253
4/26/15 19:15,91,73.62804805
4/26/15 19:20,88,73.14323895
4/26/15 19:25,86,75.03199082
4/26/15 19:30,83,72.61240159
4/26/15 19:35,96,74.39214328
4/26/15 19:40,81,73.89314816
4/26/15 19:45,74,73.83589205
4/26/15 19:50,88,72.27242519
4/26/15 19:55,77,75.84906417
4/26/15 20:00,86,73.41409236
4/26/15 20:05,78,72.28512075
4/26/15 20:10,84,72.88993462
4/26/15 20:15,73,72.75199298
4/26/15 20:20,71,71.88451003
4/26/15 20:25,71,72.85621223
4/26/15 20:30,77,71.67281659
4/26/15 20:35,86,71.94851593
4/26/15 20:40,76,72.31379811
4/26/15 20:45,77,73.96719578
4/26/15 20:50,68,71.73622611
4/26/15 20:55,64,72.95189539
4/26/15 21:00,75,71.78399706
4/26/15 21:05,72,72.74142505
4/26/15 21:10,80,71.15992367
4/26/15 21:15,63,71.43003943
4/26/15 21:20,68,72.82103349
4/26/15 21:25,67,72.88906044
4/26/15 21:30,64,71.9838805
4/26/15 21:35,63,75.06164002
4/26/15 21:40,70,71.94352019
4/26/15 21:45,67,72.34922999
4/26/15 21:50,70,74.51195464
4/26/15 21:55,65,69.69928229
4/26/15 22:00,47,71.42377319
4/26/15 22:05,49,71.05832414
4/26/15 22:10,54,73.12397091
4/26/15 22:15,57,70.33132856
4/26/15 22:20,53,71.36040254
4/26/15 22:25,48,72.07412609
4/26/15 22:30,60,71.59520113
4/26/15 22:35,55,72.33597124
4/26/15 22:40,55,69.64064759
4/26/15 22:45,50,71.3158382
4/26/15 22:50,50,70.22530123
4/26/15 22:55,50,72.13124187
4/26/15 23:00,39,72.13083892
4/26/15 23:05,41,68.48891405
4/26/15 23:10,42,71.64194809
4/26/15 23:15,35,71.32157632
4/26/15 23:20,40,71.91483904
4/26/15 23:25,32,70.54634332
4/26/15 23:30,34,70.72930157
4/26/15 23:35,33,71.24020719
4/26/15 23:40,42,71.16018157
4/26/15 23:45,39,71.12440645
4/26/15 23:50,36,69.39631264
4/26/15 23:55,36,71.73878419
4/27/15 0:00,23,69.60244999
4/27/15 0:05,35,70.72804718
4/27/15 0:10,25,68.3508302
4/27/15 0:15,19,72.41045595
4/27/15 0:20,23,69.24836816
4/27/15 0:25,36,73.03823845
4/27/15 0:30,22,69.59357353
4/27/15 0:35,26,74.47133739
4/27/15 0:40,25,68.48891405
4/27/15 0:45,24,71.73385198
4/27/15 0:50,17,68.42850255
4/27/15 0:55,10,71.66481052
4/27/15 1:00,20,70.36289015
4/27/15 1:05,12,68.47510538
4/27/15 1:10,14,67.31521218
4/27/15 1:15,17,67.89515925
4/27/15 1:20,11,64.46726119
4/27/15 1:25,7,72.2344011
4/27/15 1:30,15,70.98130221
4/27/15 1:35,18,69.42787518
4/27/15 1:40,20,68.74436687
4/27/15 1:45,17,73.02590982
4/27/15 1:50,20,68.80058571
4/27/15 1:55,15,66.9009644
4/27/15 2:00,11,70.42206909
4/27/15 2:05,25,67.89713138
4/27/15 2:10,27,68.64672201
4/27/15 2:15,16,70.79193243
4/27/15 2:20,15,68.55795456
4/27/15 2:25,22,71.33341287
4/27/15 2:30,19,66.07246979
4/27/15 2:35,21,69.91461468
4/27/15 2:40,27,68.05494028
4/27/15 2:45,16,67.31521218
4/27/15 2:50,18,68.35083115
4/27/15 2:55,10,71.04343933
4/27/15 3:00,15,71.35412493
4/27/15 3:05,21,64.03575211
4/27/15 3:10,29,67.31521218
4/27/15 3:15,16,68.55795456
4/27/15 3:20,18,70.83631592
4/27/15 3:25,28,69.78886135
4/27/15 3:30,28,69.38053184
4/27/15 3:35,21,69.53439555
4/27/15 3:40,30,69.8593819
4/27/15 3:45,31,70.3185069
4/27/15 3:50,23,70.06995843
4/27/15 3:55,22,69.1467781
4/27/15 4:00,25,68.90316088
4/27/15 4:05,27,69.62316205
4/27/15 4:10,37,67.01582553
4/27/15 4:15,38,69.25329942
4/27/15 4:20,34,70.6291925
4/27/15 4:25,37,71.26939275
4/27/15 4:30,38,70.99824827
4/27/15 4:35,46,70.23087722
4/27/15 4:40,37,71.16394757
4/27/15 4:45,35,69.89296112
4/27/15 4:50,50,70.78673213
4/27/15 4:55,48,73.79158465
4/27/15 5:00,62,69.94111038
4/27/15 5:05,62,70.82250724
4/27/15 5:10,67,71.70623653
4/27/15 5:15,67,71.64431748
4/27/15 5:20,81,72.21575977
4/27/15 5:25,78,72.89858637
4/27/15 5:30,85,72.31598546
4/27/15 5:35,89,70.8609599
4/27/15 5:40,99,72.90111695
4/27/15 5:45,89,73.38955362
4/27/15 5:50,85,71.65048417
4/27/15 5:55,82,72.21601482
4/27/15 6:00,74,73.58777972
4/27/15 6:05,80,70.2264333
4/27/15 6:10,89,71.82952376
4/27/15 6:15,109,71.78458301
4/27/15 6:20,99,72.0518278
4/27/15 6:25,100,73.79400904
4/27/15 6:30,117,73.00585767
4/27/15 6:35,103,71.21183987
4/27/15 6:40,103,73.45152576
4/27/15 6:45,110,73.69617076
4/27/15 6:50,91,73.12194379
4/27/15 6:55,97,71.1323253
4/27/15 7:00,95,72.83537407
4/27/15 7:05,95,72.04209612
4/27/15 7:10,106,70.46065827
4/27/15 7:15,87,73.07243491
4/27/15 7:20,105,71.86749002
4/27/15 7:25,111,71.09465201
4/27/15 7:30,114,68.79566204
4/27/15 7:35,106,72.28758591
4/27/15 7:40,106,72.87954802
4/27/15 7:45,86,68.06686524
4/27/15 7:50,121,70.87331223
4/27/15 7:55,106,71.68925445
4/27/15 8:00,111,69.50094811
4/27/15 8:05,100,71.92784559
4/27/15 8:10,104,72.16499745
4/27/15 8:15,103,70.20804039
4/27/15 8:20,96,70.01252786
4/27/15 8:25,96,71.92319497
4/27/15 8:30,103,68.84128166
4/27/15 8:35,105,68.44441798
4/27/15 8:40,98,68.59428907
4/27/15 8:45,103,69.80365703
4/27/15 8:50,99,68.82996469
4/27/15 8:55,101,68.02152319
4/27/15 9:00,91,69.07739911
4/27/15 9:05,97,68.43728822
4/27/15 9:10,110,67.90848817
4/27/15 9:15,98,69.54179291
4/27/15 9:20,104,67.64166909
4/27/15 9:25,83,68.22655691
4/27/15 9:30,95,68.28785706
4/27/15 9:35,92,66.83106772
4/27/15 9:40,102,68.78579145
4/27/15 9:45,95,68.85965276
4/27/15 9:50,95,68.38494512
4/27/15 9:55,101,67.89216504
4/27/15 10:00,70,67.40281839
4/27/15 10:05,114,66.98976598
4/27/15 10:10,92,68.92182496
4/27/15 10:15,94,68.79849697
4/27/15 10:20,83,68.49673239
4/27/15 10:25,87,68.30278524
4/27/15 10:30,99,69.00428351
4/27/15 10:35,89,65.90146282
4/27/15 10:40,103,68.36335699
4/27/15 10:45,85,67.58723463
4/27/15 10:50,98,70.71899721
4/27/15 10:55,105,66.52952407
4/27/15 11:00,90,68.13210348
4/27/15 11:05,89,67.19448421
4/27/15 11:10,101,68.98362075
4/27/15 11:15,84,68.73786833
4/27/15 11:20,95,67.79554227
4/27/15 11:25,99,68.86718951
4/27/15 11:30,75,67.43438425
4/27/15 11:35,115,66.94884438
4/27/15 11:40,97,67.44097404
4/27/15 11:45,103,68.71238715
4/27/15 11:50,93,68.03500475
4/27/15 11:55,84,69.62802315
4/27/15 12:00,99,68.0505817
4/27/15 12:05,90,68.31000246
4/27/15 12:10,89,68.76971057
4/27/15 12:15,86,68.52545147
4/27/15 12:20,100,68.40930182
4/27/15 12:25,103,68.95495477
4/27/15 12:30,92,68.26362149
4/27/15 12:35,90,66.33864224
4/27/15 12:40,93,69.48494261
