Date/Time (UTC-06:00) Central Time (US & Canada),RadarVehiclesCount,RadarSpeed (MPH)
4/26/15 15:55,,
4/26/15 16:00,62,67.92716868
4/26/15 16:05,106,69.43743809
4/26/15 16:10,91,70.62849562
4/26/15 16:15,96,68.80333531
4/26/15 16:20,97,70.04545193
4/26/15 16:25,92,71.30338062
4/26/15 16:30,86,69.37781922
4/26/15 16:35,101,70.30987696
4/26/15 16:40,98,70.98769313
4/26/15 16:45,102,69.66684273
4/26/15 16:50,101,68.56275119
4/26/15 16:55,112,70.40721557
4/26/15 17:00,97,71.54297679
4/26/15 17:05,80,70.42670168
4/26/15 17:10,100,70.70507951
4/26/15 17:15,95,70.1796342
4/26/15 17:20,90,70.59129451
4/26/15 17:25,80,71.64420086
4/26/15 17:30,109,68.31661003
4/26/15 17:35,114,70.82282013
4/26/15 17:40,108,70.74216305
4/26/15 17:45,92,69.42490466
4/26/15 17:50,95,71.73697609
4/26/15 17:55,95,70.64296799
4/26/15 18:00,104,68.97332778
4/26/15 18:05,96,70.49793428
4/26/15 18:10,85,70.62426124
4/26/15 18:15,97,69.51835496
4/26/15 18:20,86,71.39732964
4/26/15 18:25,85,71.46021769
4/26/15 18:30,92,72.55996866
4/26/15 18:35,86,69.13945279
4/26/15 18:40,85,72.54994021
4/26/15 18:45,93,69.96600751
4/26/15 18:50,93,70.80396737
4/26/15 18:55,83,70.87813825
4/26/15 19:00,88,71.66766726
4/26/15 19:05,91,70.09584921
4/26/15 19:10,87,71.56305265
4/26/15 19:15,80,67.90446522
4/26/15 19:20,89,69.55665402
4/26/15 19:25,87,70.99729065
4/26/15 19:30,88,70.90158663
4/26/15 19:35,101,68.22492137
4/26/15 19:40,82,70.80968369
4/26/15 19:45,86,70.72841221
4/26/15 19:50,74,70.05449905
4/26/15 19:55,65,69.18160223
4/26/15 20:00,86,71.26229594
4/26/15 20:05,74,69.0700738
4/26/15 20:10,79,68.89757162
4/26/15 20:15,67,69.61264436
4/26/15 20:20,71,69.69690152
4/26/15 20:25,69,67.34628074
4/26/15 20:30,67,70.40653386
4/26/15 20:35,81,68.24379404
4/26/15 20:40,69,70.22310439
4/26/15 20:45,75,68.3757207
4/26/15 20:50,62,68.3484774
4/26/15 20:55,65,70.39247962
4/26/15 21:00,81,69.07088635
4/26/15 21:05,61,68.33916716
4/26/15 21:10,65,68.83367191
4/26/15 21:15,78,67.12800344
4/26/15 21:20,64,69.0700738
4/26/15 21:25,62,68.51386049
4/26/15 21:30,70,69.44535978
4/26/15 21:35,62,69.89027695
4/26/15 21:40,60,69.88307585
4/26/15 21:45,69,69.66064191
4/26/15 21:50,67,70.7258494
4/26/15 21:55,58,68.63812999
4/26/15 22:00,58,67.10439008
4/26/15 22:05,53,67.11918481
4/26/15 22:10,56,68.17033806
4/26/15 22:15,62,68.06199632
4/26/15 22:20,52,71.04875079
4/26/15 22:25,50,68.41610755
4/26/15 22:30,52,67.99606476
4/26/15 22:35,58,66.55073674
4/26/15 22:40,44,67.32384307
4/26/15 22:45,50,65.04626677
4/26/15 22:50,46,69.01658559
4/26/15 22:55,53,66.83694523
4/26/15 23:00,35,70.04547942
4/26/15 23:05,44,67.21478833
4/26/15 23:10,31,65.2291814
4/26/15 23:15,43,68.14871484
4/26/15 23:20,39,67.12826228
4/26/15 23:25,37,65.7664917
4/26/15 23:30,27,67.81230913
4/26/15 23:35,37,66.47636107
4/26/15 23:40,32,67.08047237
4/26/15 23:45,46,68.06573103
4/26/15 23:50,33,67.16726769
4/26/15 23:55,29,66.27367588
4/27/15 0:00,28,63.53076618
4/27/15 0:05,30,67.3393764
4/27/15 0:10,28,64.37405552
4/27/15 0:15,19,65.49252366
4/27/15 0:20,19,64.49832975
4/27/15 0:25,25,67.0770202
4/27/15 0:30,22,65.92058011
4/27/15 0:35,25,64.93328959
4/27/15 0:40,16,66.50742963
4/27/15 0:45,30,67.16861215
4/27/15 0:50,16,63.48342308
4/27/15 0:55,15,68.88343489
4/27/15 1:00,10,67.52233654
4/27/15 1:05,17,63.80890317
4/27/15 1:10,15,65.55466078
4/27/15 1:15,13,66.98381452
4/27/15 1:20,14,66.5384989
4/27/15 1:25,11,63.37986161
4/27/15 1:30,17,65.55466078
4/27/15 1:35,16,66.50742963
4/27/15 1:40,16,66.19674498
4/27/15 1:45,20,66.70863572
4/27/15 1:50,14,66.36244333
4/27/15 1:55,16,65.11970095
4/27/15 2:00,17,64.68178292
4/27/15 2:05,21,64.24978128
4/27/15 2:10,27,66.41767612
4/27/15 2:15,17,67.49274707
4/27/15 2:20,13,66.07246979
4/27/15 2:25,18,66.69384098
4/27/15 2:30,15,71.22467291
4/27/15 2:35,18,63.8236979
4/27/15 2:40,22,66.26479942
4/27/15 2:45,21,65.59904403
