Date/Time (UTC-06:00) Central Time (US & Canada),RadarVehiclesCount,RadarSpeed (MPH)
4/26/15 15:55,,
4/26/15 16:00,59,64.93358035
4/26/15 16:05,105,63.00037538
4/26/15 16:10,109,64.19035678
4/26/15 16:15,101,62.18826743
4/26/15 16:20,95,65.51739804
4/26/15 16:25,105,65.0182095
4/26/15 16:30,95,64.96353706
4/26/15 16:35,101,64.35107457
4/26/15 16:40,102,64.31555735
4/26/15 16:45,110,64.39772671
4/26/15 16:50,105,64.43884078
4/26/15 16:55,110,62.29926775
4/26/15 17:00,115,64.5850625
4/26/15 17:05,98,65.23267813
4/26/15 17:10,98,66.32406558
4/26/15 17:15,99,65.67307269
4/26/15 17:20,105,64.34339845
4/26/15 17:25,90,65.28245059
4/26/15 17:30,81,63.66161669
4/26/15 17:35,101,64.09623046
4/26/15 17:40,112,62.48102186
4/26/15 17:45,108,65.16097525
4/26/15 17:50,90,63.3497573
4/26/15 17:55,97,66.43312601
4/26/15 18:00,109,63.59663896
4/26/15 18:05,102,63.36875892
4/26/15 18:10,88,63.62331385
4/26/15 18:15,103,64.52912335
4/26/15 18:20,107,64.1879286
4/26/15 18:25,93,64.18099961
4/26/15 18:30,99,65.94736783
4/26/15 18:35,102,64.71812976
4/26/15 18:40,93,64.10143952
4/26/15 18:45,93,63.90389514
4/26/15 18:50,94,63.41662468
4/26/15 18:55,91,65.67808549
4/26/15 19:00,96,67.14170117
4/26/15 19:05,90,63.72085441
4/26/15 19:10,103,64.27261432
4/26/15 19:15,91,63.04617136
4/26/15 19:20,86,63.25230207
4/26/15 19:25,92,63.59819011
4/26/15 19:30,87,63.18545651
4/26/15 19:35,88,62.96851134
4/26/15 19:40,79,61.01421285
4/26/15 19:45,83,63.42942358
4/26/15 19:50,86,62.75392134
4/26/15 19:55,84,62.30955125
4/26/15 20:00,80,61.8936338
4/26/15 20:05,80,61.81147013
4/26/15 20:10,90,60.86771427
4/26/15 20:15,97,61.80966582
