Date/Time (UTC-06:00) Central Time (US & Canada),RadarVehiclesCount,RadarSpeed (MPH)
4/26/2015 15:55,,
4/26/2015 16:00,100,72.70042949
4/26/2015 16:05,183,74.44026883
4/26/2015 16:10,190,72.0790583
4/26/2015 16:15,187,73.07325221
4/26/2015 16:20,168,75.68301121
4/26/2015 16:25,168,72.20333254
4/26/2015 16:30,158,69.46929929
4/26/2015 16:35,179,70.58776744
4/26/2015 16:40,181,72.82470373
4/26/2015 16:45,193,71.58196135
4/26/2015 16:50,178,72.94897797
4/26/2015 16:55,209,72.20333254
4/26/2015 17:00,177,72.0790583
4/26/2015 17:05,144,72.20333254
4/26/2015 17:10,169,74.68881731
4/26/2015 17:15,170,73.6946234
4/26/2015 17:20,150,72.2344011
4/26/2015 17:25,142,72.82470373
4/26/2015 17:30,155,73.6946234
4/26/2015 17:35,190,72.45188101
4/26/2015 17:40,195,72.82470373
4/26/2015 17:45,144,71.14700151
4/26/2015 17:50,139,72.0790583
4/26/2015 17:55,157,73.94317188
4/26/2015 18:00,168,71.83050982
4/26/2015 18:05,188,70.83631592
4/26/2015 18:10,166,72.32760678
4/26/2015 18:15,161,72.45188101
4/26/2015 18:20,161,70.58776744
4/26/2015 18:25,128,70.52563032
4/26/2015 18:30,161,73.44607492
4/26/2015 18:35,157,74.93736578
4/26/2015 18:40,147,73.6946234
4/26/2015 18:45,169,71.20913863
4/26/2015 18:50,162,72.70042949
4/26/2015 18:55,126,71.70623558
4/26/2015 19:00,145,73.19752645
4/26/2015 19:05,153,72.70042949
4/26/2015 19:10,160,74.31599459
4/26/2015 19:15,147,72.20333254
4/26/2015 19:20,138,71.70623558
4/26/2015 19:25,132,70.83631592
4/26/2015 19:30,113,71.9237155
4/26/2015 19:35,128,72.45188101
4/26/2015 19:40,149,70.21494472
4/26/2015 19:45,122,73.57034916
4/26/2015 19:50,130,74.31599459
4/26/2015 19:55,127,71.20913863
4/26/2015 20:00,128,73.57034916
4/26/2015 20:05,103,73.19752645
4/26/2015 20:10,126,70.71204168
4/26/2015 20:15,130,71.58196135
4/26/2015 20:20,119,70.83631592
4/26/2015 20:25,104,70.09067048
4/26/2015 20:30,110,70.09067048
4/26/2015 20:35,133,71.45768711
4/26/2015 20:40,121,72.0790583
4/26/2015 20:45,103,71.95478406
4/26/2015 20:50,108,73.07325221
4/26/2015 20:55,94,75.3101885
4/26/2015 21:00,95,73.57034916
4/26/2015 21:05,117,71.58196135
4/26/2015 21:10,80,73.32180068
4/26/2015 21:15,122,72.32760678
4/26/2015 21:20,107,69.34502505
4/26/2015 21:25,116,71.95478406
4/26/2015 21:30,85,72.82470373
4/26/2015 21:35,75,71.45768711
4/26/2015 21:40,80,74.19172035
4/26/2015 21:45,93,73.32180068
4/26/2015 21:50,99,70.21494472
4/26/2015 21:55,87,72.20333254
4/26/2015 22:00,88,71.33341287
4/26/2015 22:05,74,71.08486439
4/26/2015 22:10,68,72.94897797
4/26/2015 22:15,77,73.19752645
4/26/2015 22:20,65,73.81889764
4/26/2015 22:25,67,75.55873698
4/26/2015 22:30,56,73.07325221
4/26/2015 22:35,71,73.57034916
4/26/2015 22:40,71,70.96059015
4/26/2015 22:45,58,70.33921896
4/26/2015 22:50,61,72.0790583
4/26/2015 22:55,58,71.70623558
4/26/2015 23:00,53,72.20333254
4/26/2015 23:05,33,73.81889764
4/26/2015 23:10,58,74.56454307
4/26/2015 23:15,45,72.70042949
4/26/2015 23:20,47,74.56454307
4/26/2015 23:25,50,70.96059015
4/26/2015 23:30,36,71.08486439
4/26/2015 23:35,35,71.7683727
4/26/2015 23:40,45,69.71784777
4/26/2015 23:45,46,69.84212201
4/26/2015 23:50,36,71.20913863
4/26/2015 23:55,38,73.32180068
4/27/2015 0:00,33,77.91994751
4/27/2015 0:05,45,68.97220234
4/27/2015 0:10,45,69.96639625
4/27/2015 0:15,32,71.83050982
4/27/2015 0:20,19,68.59937962
4/27/2015 0:25,27,69.09647658
4/27/2015 0:30,34,69.84212201
4/27/2015 0:35,24,71.45768711
4/27/2015 0:40,31,70.4634932
4/27/2015 0:45,35,69.09647658
4/27/2015 0:50,33,67.48091148
4/27/2015 0:55,27,68.8479281
4/27/2015 1:00,11,71.33341287
4/27/2015 1:05,17,70.52563032
4/27/2015 1:10,21,73.19752645
4/27/2015 1:15,22,61.39147379
4/27/2015 1:20,22,67.88480275
4/27/2015 1:25,15,71.20913863
4/27/2015 1:30,14,65.08863239
4/27/2015 1:35,18,70.21494472
4/27/2015 1:40,24,68.72365386
4/27/2015 1:45,22,70.09067048
4/27/2015 1:50,17,76.67720512
4/27/2015 1:55,22,66.48671757
4/27/2015 2:00,24,66.85954028
4/27/2015 2:05,22,66.11389485
4/27/2015 2:10,28,63.75268432
4/27/2015 2:15,25,67.232363
4/27/2015 2:20,23,67.85373419
4/27/2015 2:25,16,69.22075082
4/27/2015 2:30,29,70.33921896
4/27/2015 2:35,24,73.57034916
4/27/2015 2:40,22,71.70623558
4/27/2015 2:45,35,71.95478406
4/27/2015 2:50,17,67.97800843
4/27/2015 2:55,26,67.60518572
4/27/2015 3:00,5,69.59357353
4/27/2015 3:05,9,73.63248628
4/27/2015 3:10,18,69.74891633
4/27/2015 3:15,40,69.71784777
4/27/2015 3:20,23,69.96639625
4/27/2015 3:25,15,70.68097312
4/27/2015 3:30,42,67.10808876
4/27/2015 3:35,37,70.96059015
4/27/2015 3:40,30,76.67720512
4/27/2015 3:45,38,71.58196135
4/27/2015 3:50,46,68.72365386
4/27/2015 3:55,29,72.45188101
4/27/2015 4:00,34,65.36824942
4/27/2015 4:05,27,68.8479281
4/27/2015 4:10,43,67.60518572
4/27/2015 4:15,35,67.72945995
4/27/2015 4:20,54,67.10808876
4/27/2015 4:25,50,68.10228267
4/27/2015 4:30,48,68.22655691
4/27/2015 4:35,53,72.32760678
4/27/2015 4:40,61,71.33341287
4/27/2015 4:45,57,69.59357353
4/27/2015 4:50,61,70.96059015
4/27/2015 4:55,65,71.08486439
4/27/2015 5:00,67,71.83050982
4/27/2015 5:05,82,73.81889764
4/27/2015 5:10,78,70.09067048
4/27/2015 5:15,116,70.96059015
4/27/2015 5:20,109,74.06744611
4/27/2015 5:25,128,73.32180068
4/27/2015 5:30,126,72.20333254
4/27/2015 5:35,138,71.58196135
4/27/2015 5:40,132,72.0790583
4/27/2015 5:45,174,71.95478406
4/27/2015 5:50,149,72.0790583
4/27/2015 5:55,164,69.71784777
4/27/2015 6:00,131,68.72365386
4/27/2015 6:05,151,72.45188101
4/27/2015 6:10,150,71.08486439
4/27/2015 6:15,171,69.84212201
4/27/2015 6:20,231,69.84212201
4/27/2015 6:25,216,69.84212201
4/27/2015 6:30,205,69.96639625
4/27/2015 6:35,242,70.33921896
4/27/2015 6:40,273,72.57615525
4/27/2015 6:45,250,71.08486439
4/27/2015 6:50,207,69.71784777
4/27/2015 6:55,196,69.71784777
4/27/2015 7:00,188,71.58196135
4/27/2015 7:05,201,69.46929929
