Date/Time (UTC-06:00) Central Time (US & Canada),RadarSpeed (MPH)
4/27/2015 3:25 AM,62.75849042
4/27/2015 3:30 AM,60.64582836
4/27/2015 3:35 AM,60.7701026
4/27/2015 3:40 AM,64.0012328
4/27/2015 3:45 AM,62.75849042
4/27/2015 3:50 AM,62.50994194
4/27/2015 3:55 AM,62.13711922
4/27/2015 4:00 AM,64.24978128
4/27/2015 4:05 AM,63.00703889
4/27/2015 4:10 AM,64.24978128
4/27/2015 4:15 AM,62.75849042
4/27/2015 4:20 AM,64.87115247
4/27/2015 4:25 AM,63.13131313
4/27/2015 4:30 AM,65.11970095
4/27/2015 4:35 AM,64.37405552
4/27/2015 4:40 AM,63.87695856
4/27/2015 4:45 AM,63.13131313
4/27/2015 4:50 AM,65.36824942
4/27/2015 4:55 AM,64.0012328
4/27/2015 5:00 AM,65.11970095
4/27/2015 5:05 AM,62.01284499
4/27/2015 5:10 AM,63.25558737
4/27/2015 5:15 AM,64.62260399
4/27/2015 5:20 AM,65.11970095
4/27/2015 5:25 AM,65.86534638
4/27/2015 5:30 AM,65.49252366
4/27/2015 5:35 AM,65.6167979
4/27/2015 5:40 AM,65.11970095
4/27/2015 5:45 AM,66.36244333
4/27/2015 5:50 AM,65.49252366
4/27/2015 5:55 AM,66.48671757
4/27/2015 6:00 AM,66.85954028
4/27/2015 6:05 AM,66.11389485
4/27/2015 6:10 AM,66.11389485
4/27/2015 6:15 AM,65.24397518
4/27/2015 6:20 AM,63.75268432
4/27/2015 6:25 AM,64.49832975
4/27/2015 6:30 AM,65.74107214
4/27/2015 6:35 AM,63.00703889
4/27/2015 6:40 AM,64.87115247
4/27/2015 6:45 AM,65.98962062
4/27/2015 6:50 AM,66.61099181
4/27/2015 6:55 AM,66.23816909
4/27/2015 7:00 AM,64.87115247
4/27/2015 7:05 AM,64.24978128
4/27/2015 7:10 AM,65.49252366
4/27/2015 7:15 AM,63.00703889
4/27/2015 7:20 AM,63.62841009
4/27/2015 7:25 AM,61.76429651
4/27/2015 7:30 AM,62.26139346
4/27/2015 7:35 AM,60.52155412
4/27/2015 7:40 AM,50.48640937
4/27/2015 7:45 AM,60.58369124
4/27/2015 7:50 AM,55.67485882
4/27/2015 7:55 AM,58.53316631
4/27/2015 8:00 AM,61.14292532
4/27/2015 8:05 AM,59.1545375
4/27/2015 8:10 AM,62.13711922
4/27/2015 8:15 AM,60.64582836
4/27/2015 8:20 AM,61.26719955
4/27/2015 8:25 AM,61.88857075
4/27/2015 8:30 AM,63.50413585
4/27/2015 8:35 AM,60.02445717
4/27/2015 8:40 AM,60.27300565
4/27/2015 8:45 AM,61.14292532
4/27/2015 8:50 AM,59.40308598
4/27/2015 8:55 AM,61.26719955
4/27/2015 9:00 AM,59.1545375
4/27/2015 9:05 AM,60.02445717
4/27/2015 9:10 AM,59.52736022
4/27/2015 9:15 AM,61.01865108
4/27/2015 9:20 AM,61.76429651
4/27/2015 9:25 AM,58.65744055
4/27/2015 9:30 AM,62.63421618
4/27/2015 9:35 AM,60.89437684
4/27/2015 9:40 AM,59.90018293
4/27/2015 9:45 AM,58.28461783
4/27/2015 9:50 AM,58.28461783
4/27/2015 9:55 AM,60.64582836
4/27/2015 10:00 AM,59.90018293
4/27/2015 10:05 AM,59.1545375
4/27/2015 10:10 AM,57.5389724
4/27/2015 10:15 AM,61.39147379
4/27/2015 10:20 AM,61.14292532
4/27/2015 10:25 AM,60.39727989
4/27/2015 10:30 AM,59.27881174
4/27/2015 10:35 AM,61.39147379
4/27/2015 10:40 AM,59.65163445
4/27/2015 10:45 AM,58.28461783
4/27/2015 10:50 AM,58.78171479
4/27/2015 10:55 AM,59.77590869
4/27/2015 11:00 AM,52.19518015
4/27/2015 11:05 AM,52.66120854
4/27/2015 11:10 AM,55.42631035
4/27/2015 11:15 AM,59.03026326
4/27/2015 11:20 AM,60.64582836
4/27/2015 11:25 AM,61.51574803
4/27/2015 11:30 AM,60.7701026
4/27/2015 11:35 AM,59.90018293
4/27/2015 11:40 AM,56.66905273
4/27/2015 11:45 AM,60.89437684
4/27/2015 11:50 AM,61.51574803
4/27/2015 11:55 AM,60.7701026
4/27/2015 12:00 PM,61.64002227
4/27/2015 12:05 PM,59.90018293
